starting_timestamp,prover,threads,memory_limit,bandwidth_limit,num_variables,run_time
2024-10-08 18:16:23,scribe,1,500M,,5,78328
2024-10-08 18:16:23,scribe,1,500M,,6,79165
2024-10-08 18:16:23,scribe,1,500M,,7,88038
2024-10-08 18:16:23,scribe,1,500M,,8,103681
2024-10-08 18:16:23,scribe,1,500M,,9,127673
2024-10-08 18:16:23,scribe,1,500M,,10,168645
2024-10-08 18:16:24,hp,1,500M,,5,17082
2024-10-08 18:16:24,hp,1,500M,,6,22718
2024-10-08 18:16:24,hp,1,500M,,7,33830
2024-10-08 18:16:24,hp,1,500M,,8,49490
2024-10-08 18:16:24,hp,1,500M,,9,73217
2024-10-08 18:16:24,hp,1,500M,,10,114107
2024-10-08 18:16:25,gemini,1,500M,,5,53769
2024-10-08 18:16:25,gemini,1,500M,,6,73629
2024-10-08 18:16:25,gemini,1,500M,,7,122781
2024-10-08 18:16:25,gemini,1,500M,,8,201299
2024-10-08 18:16:25,gemini,1,500M,,9,337516
2024-10-08 18:16:25,gemini,1,500M,,10,602561
2024-10-08 18:16:26,plonky2,1,500M,,2,198017
2024-10-08 18:16:26,plonky2,1,500M,,4,104544
2024-10-08 18:16:26,plonky2,1,500M,,7,28208
2024-10-08 18:16:26,plonky2,1,500M,,13,171546
2024-10-08 18:16:26,plonky2,1,500M,,26,45697
2024-10-08 18:16:26,plonky2,1,500M,,52,209154
2024-10-08 18:16:27,halo2,1,500M,,5,17475
2024-10-08 18:16:27,halo2,1,500M,,6,22542
2024-10-08 18:16:27,halo2,1,500M,,7,32228
2024-10-08 18:16:27,halo2,1,500M,,8,50103
2024-10-08 18:16:27,halo2,1,500M,,9,83260
2024-10-08 18:16:27,halo2,1,500M,,10,140060
2024-10-08 18:16:28,scribe,2,500M,,5,75079
2024-10-08 18:16:28,scribe,2,500M,,6,76605
2024-10-08 18:16:28,scribe,2,500M,,7,83199
2024-10-08 18:16:28,scribe,2,500M,,8,91889
2024-10-08 18:16:28,scribe,2,500M,,9,108446
2024-10-08 18:16:28,scribe,2,500M,,10,131728
2024-10-08 18:16:29,hp,2,500M,,5,19709
2024-10-08 18:16:29,hp,2,500M,,6,26288
2024-10-08 18:16:29,hp,2,500M,,7,32121
2024-10-08 18:16:29,hp,2,500M,,8,42776
2024-10-08 18:16:29,hp,2,500M,,9,59951
2024-10-08 18:16:29,hp,2,500M,,10,80824
